Account_Number,Investor_Name,Currency_Code,Account_Type,Country,Region,Open_Date
7211755002,Alex Taylor,USD,Hedge Fund,USA,NA,4/29/2021
4287142271,Sam Brown,ARS,Mutual Fund,Argentina,LATAM,7/27/2022
7593586857,Parker Silva,INR,Institutional,India,APAC,6/11/2024
3481367606,Parker Nguyen,GBP,Pension,UK,EMEA,9/15/2021
9656872032,Luca Lee,CLP,Hedge Fund,Chile,LATAM,7/8/2023
8611757453,Diego Wilson,COP,Institutional,Colombia,LATAM,12/4/2023
1165354259,Sam Taylor,USD,Mutual Fund,USA,NA,11/19/2020
2107797516,Diego Thomas,INR,Hedge Fund,India,APAC,12/25/2019
7575030988,Parker Kim,EUR,Hedge Fund,France,EMEA,12/23/2022
7895169156,Avery Taylor,USD,Hedge Fund,USA,NA,4/17/2019
9645123522,Jordan Khan,AUD,Institutional,Australia,APAC,4/20/2024
262195478,Sam Smith,CAD,Pension,Canada,NA,8/20/2023
4806607811,Omar Chen,AUD,Pension,Australia,APAC,9/10/2021
4808806500,Parker Nguyen,EUR,Pension,France,EMEA,6/22/2020
2403927449,Sofia Wilson,COP,Hedge Fund,Colombia,LATAM,4/22/2020
2070304950,Taylor Nguyen,EUR,Institutional,France,EMEA,11/7/2021
8495500653,Avery Lee,MXN,Hedge Fund,Mexico,NA,3/28/2023
1649906505,Quinn Chen,AUD,Mutual Fund,Australia,APAC,11/11/2021
3187696082,Sam Chen,USD,Mutual Fund,USA,NA,12/24/2020
7122368529,Taylor Davis,USD,Mutual Fund,USA,NA,5/31/2024
3191475196,Sofia Kim,USD,Mutual Fund,USA,NA,11/12/2023
1387882217,Yuki Thomas,AED,Hedge Fund,UAE,EMEA,9/29/2019
9880739888,Riley Smith,EUR,Pension,Germany,EMEA,3/16/2023
2843720138,Quinn Brown,CAD,Custody-Only,Canada,NA,4/12/2019
9191921473,Diego Smith,CLP,Pension,Chile,LATAM,4/20/2021
458697149,Priya Thomas,EUR,Mutual Fund,France,EMEA,7/16/2019
26188216,Isla Anderson,MXN,Mutual Fund,Mexico,NA,9/22/2023
3276346579,Riley Garcia,BRL,Mutual Fund,Brazil,LATAM,7/28/2020
8762102480,Luca Ivanov,US,Pension,India,APAC,5/18/2022
2607714195,Sofia Khan,COP,Institutional,Colombia,LATAM,6/2/2024
8695986758,Omar Nguyen,ARS,Pension,Argentina,LATAM,8/17/2021
7827424723,Sofia Garcia,CLP,Hedge Fund,Chile,LATAM,9/11/2019
3124340837,Alex Anderson,EUR,Pension,Germany,EMEA,5/25/2019
9238857784,Yuki Wilson,BRL,Institutional,Brazil,LATAM,3/4/2023
6778995956,Yuki Chen,CLP,Pension,Chile,LATAM,3/25/2024
2343829484,Sofia Kim,GBP,Mutual Fund,UK,EMEA,7/1/2020
7679101165,Omar Hernandez,GBP,Mutual Fund,UK,EMEA,6/24/2023
6718910369,Avery Garcia,ZAR,Custody-Only,South Africa,EMEA,6/23/2022
6368750560,Priya Patel,GBP,Pension,UK,EMEA,1/25/2021
4384115669,Leila Miller,BRL,Pension,Brazil,LATAM,5/10/2020
8808246308,Leila Ivanov,JPY,Mutual Fund,Japan,APAC,9/6/2023
2585512452,Leila Miller,JPY,Institutional,Japan,APAC,1/11/2022
2635454737,Morgan Hernandez,CAD,Hedge Fund,Canada,NA,3/8/2023
1157124795,Sam Ivanov,MXN,Mutual Fund,Mexico,NA,2/11/2023
1052956184,Alex Anderson,EUR,Mutual Fund,France,EMEA,10/22/2019
4109484060,Luca Silva,COP,Institutional,Colombia,LATAM,11/12/2023
5456739254,Isla Kim,GBP,Custody-Only,UK,EMEA,7/6/2021
6202514640,Morgan Miller,USD,Institutional,USA,NA,1/31/2023
7669456980,Morgan Thomas,EUR,Custody-Only,France,EMEA,10/9/2023
1669540043,Alex Garcia,AUD,Hedge Fund,Australia,APAC,4/19/2023
8571542948,Taylor Wilson,MXN,Mutual Fund,Mexico,NA,4/8/2019
3114464700,Priya Smith,CLP,Pension,Chile,LATAM,4/15/2023
8405644021,Omar Wilson,MXN,Institutional,Mexico,NA,2/1/2023
6215509941,Casey Wilson,MXN,Mutual Fund,Mexico,NA,1/13/2020
8925395882,Yuki Lee,AUD,Custody-Only,Australia,APAC,4/9/2020
2259415355,Priya Ivanov,INR,Hedge Fund,India,APAC,2/23/2022
8434939761,Jordan Chen,ARS,Custody-Only,Argentina,LATAM,4/17/2019
8454746149,Isla Martinez,INR,Institutional,India,APAC,10/20/2022
9684562622,Yuki Smith,AUD,Institutional,Australia,APAC,3/11/2024
6907231557,Riley Garcia,ARS,Custody-Only,Argentina,LATAM,9/30/2023
4526468425,Omar Brown,,Custody-Only,Argentina,LATAM,4/14/2024
6439813326,Mei Hernandez,AUD,Institutional,Australia,APAC,7/30/2024
7897282127,Casey Smith,MXN,Institutional,Mexico,NA,5/25/2020
319342783,Quinn Nguyen,AUD,Mutual Fund,Australia,APAC,11/20/2021
7319198799,Sofia Brown,CLP,Institutional,Chile,LATAM,3/10/2020
2137236364,Sofia Lee,BRL,Custody-Only,Brazil,LATAM,3/24/2021
6476100912,Casey Martinez,GBP,Pension,UK,EMEA,9/8/2021
5786869262,Parker Brown,AUD,Institutional,Australia,APAC,3/17/2022
299802690,Parker Chen,JPY,Custody-Only,Japan,APAC,10/30/2022
8558277529,Sofia Hernandez,GBP,Hedge Fund,UK,EMEA,12/21/2023
8137502141,Leila Miller,MXN,Mutual Fund,Mexico,NA,5/5/2024
