Transaction_ID,Account_Number,Security_ID,Trade_Date,Settlement_Date,Quantity,Price,Trade_Amount,Status,Currency_Code
TRX0000001,5456739254,SEC00038,5/31/2025,6/2/2025,3930,225.74,887158.2,Settled,GBP
TRX0000002,9079551984,SEC00066,11/17/2024,11/19/2024,4633,411.56,1906757.48,Settled,JPY
TRX0000003,5686824922,SEC00029,2/23/2025,2/25/2025,1136,32.84,37306.24,Pending,CLP
TRX0000004,3029967115,SEC00080,12/22/2024,12/23/2024,3158,177.91,561839.78,Settled,CAD
TRX0000005,0418881727,SEC00110,2/21/2025,2/22/2025,4465,98.12,438105.8,Settled,AUD
TRX0000006,3518801882,SEC00121,3/12/2025,3/14/2025,219,341.84,74862.96,Settled,GBP
TRX0000007,0998552643,SEC00081,1/23/2025,1/25/2025,4837,185.86,899004.82,Settled,BRL
TRX0000008,4145255693,SEC00174,6/29/2025,7/1/2025,948,238.38,225984.24,Settled,EUR
TRX0000009,3695776049,SEC00107,4/6/2025,4/8/2025,3349,416.51,1394891.99,Settled,BRL
TRX0000010,3388521753,SEC00019,10/17/2024,10/18/2024,1562,402.58,628829.96,Settled,CAD
TRX0000011,0458697149,SEC00069,8/5/2025,8/7/2025,1442,70.74,102007.08,Settled,EUR
TRX0000012,5456739254,SEC00085,7/2/2025,7/3/2025,37,332.76,12312.12,Failed,GBP
TRX0000013,7679101165,SEC00133,12/22/2024,12/24/2024,3903,284.8,1111574.4,Settled,GBP
TRX0000014,6972513617,SEC00125,12/10/2024,12/12/2024,573,236.08,135273.84,Settled,ZAR
TRX0000015,9660643541,SEC00149,10/10/2024,10/12/2024,3825,277.24,1060443,Settled,MXN
TRX0000016,8454746149,SEC00032,6/29/2025,7/1/2025,1520,218.92,332758.4,Settled,INR
TRX0000017,8695986758,SEC00136,12/21/2024,12/22/2024,2043,117.74,240542.82,Settled,ARS
TRX0000018,5116697037,SEC00127,7/21/2025,7/23/2025,1407,331.3,466139.1,Settled,SGD
TRX0000019,4540487387,SEC00122,3/15/2025,3/17/2025,3919,203.79,798653.01,Settled,BRL
TRX0000020,1387882217,SEC00150,1/7/2025,1/9/2025,835,45.93,38351.55,Settled,AED
TRX0000021,2895425571,SEC00052,5/24/2025,5/26/2025,2309,251.02,579605.18,Settled,JPY
TRX0000022,7319198799,SEC00007,3/12/2025,3/14/2025,3481,191.13,665323.53,Settled,CLP
TRX0000023,8206576626,SEC00057,5/19/2025,5/21/2025,3151,44.74,140975.74,Settled,AED
TRX0000024,2585512452,SEC00119,8/29/2025,,2475,133.67,330833.25,Pending,JPY
TRX0000025,5686824922,SEC00030,8/31/2025,9/1/2025,1306,225.23,294150.38,Settled,CLP
TRX0000026,8108918366,SEC00056,12/20/2024,12/22/2024,2235,228.43,510541.05,Settled,BRL
TRX0000027,4109484060,SEC00066,11/24/2024,11/26/2024,4043,89.21,360676.03,Settled,COP
TRX0000028,1555315257,SEC00057,7/21/2025,7/22/2025,2464,216.61,533727.04,Failed,CAD
TRX0000029,10699606,SEC00062,4/28/2025,4/30/2025,474,43.14,20448.36,Settled,EUR
TRX0000030,6834952496,SEC00100,2/10/2025,2/12/2025,898,165.6,148708.8,Settled,USD
TRX0000031,3124340837,SEC00066,11/3/2024,11/5/2024,876,86.13,75449.88,Settled,EUR
TRX0000032,8186619211,SEC00158,8/15/2025,8/17/2025,2235,295.87,661269.45,Settled,INR
TRX0000033,9880739888,SEC00010,9/20/2024,,2091,391.58,818793.78,Settled,EUR
TRX0000034,0271747066,SEC00054,10/12/2024,10/14/2024,3355,468.98,1573427.9,Settled,INR
TRX0000035,5700289392,SEC00039,4/8/2025,4/10/2025,4038,166.45,672125.1,Settled,ARS
TRX0000036,6476100912,SEC00075,3/21/2025,3/23/2025,1423,413.32,588154.36,Settled,GBP
TRX0000037,6536197238,SEC00155,8/5/2025,8/7/2025,1511,55.18,83376.98,Settled,ARS
TRX0000038,9550762049,SEC00111,5/15/2025,5/17/2025,1220,363.77,443799.4,Settled,ZAR
TRX0000039,8495500653,SEC00089,6/19/2025,6/21/2025,3073,115.88,356099.24,Settled,MXN
TRX0000040,0998552643,SEC00106,9/25/2024,9/27/2024,2734,415.07,1134801.38,Settled,BRL
TRX0000041,4597255833,SEC00146,8/29/2025,,1586,146.17,231825.62,Settled,CLP
TRX0000042,70623991775,SEC00115,8/8/2025,,1280,83.14,106419.2,Settled,INR
TRX0000043,4798701236,SEC00167,12/30/2024,,2176,445.95,970387.2,Settled,ARS
TRX0000044,9238857784,SEC00102,7/17/2025,7/18/2025,4454,259.91,1157639.14,Settled,BRL
TRX0000045,9191921473,SEC00075,9/20/2024,9/22/2024,3860,187.46,-723595.6,Settled,CLP
TRX0000046,3467086399,SEC00125,6/7/2025,6/9/2025,3734,468.47,1749266.98,Pending,COP
TRX0000047,6333104285,SEC00085,10/26/2024,10/27/2024,4459,90.45,403316.55,Settled,XXX
TRX0000048,7816273452,SEC00048,4/18/2025,4/19/2025,224,155.85,34910.4,Settled,ARS
TRX0000049,5777959399,SEC00122,9/1/2025,9/3/2025,2169,7.95,17243.55,Settled,EUR
TRX0000050,9880739888,SEC00119,12/4/2024,12/6/2024,90,61.79,5561.1,Pending,EUR
TRX0000051,9376063353,SEC00091,10/2/2025,3/17/2025,3831,100.69,385743.39,Settled,JPY
TRX0000052,3984325187,SEC00029,9/21/2024,9/22/2024,3577,66.4,237512.8,Settled,MXN
TRX0000053,9942717513,SEC00070,4/7/2025,4/9/2025,4637,151.17,700975.29,Settled,EUR
TRX0000054,1783807591,SEC00026,3/16/2025,,3314,143.94,477017.16,Settled,MXN
TRX0000055,1649906505,SEC00022,3/13/2025,3/15/2025,125,317.35,-39668.75,Settled,AUD
TRX0000056,7669456980,SEC00130,6/3/2025,6/5/2025,702,483.15,339171.3,Settled,EUR
TRX0000057,1165354259,SEC00095,11/17/2024,11/18/2024,4665,234.22,1092636.3,Failed,USD
TRX0000058,8762102480,SEC00013,9/18/2024,9/20/2024,1440,398.61,573998.4,Settled,US
